,Akuapem Twi
11694,Meresiesie me ho ama akwantu no a adagyew nnim.
11695,M'ani gye ɔkyerɛkyerɛ ho.
11696,"Ɛyɛ den ma yɛn sɛ yɛne no bɛbɔ, efisɛ ɛyɛ den ma no sɛ ɔbɛsɔ n'ani."
11697,Ogye di sɛ na Epikuro wɔ hɔ.
11698,Ná nnipa 500 na wɔte wimhyɛn gyinabea hɔ.
11699,Ɛnyɛ den koraa sɛ wɔbɛkyerɛw anwensɛm a enye sen sɛ wobɛte ase sɛ ɛyɛ papa.
11700,Me kyerɛkyerɛfo ka kyerɛɛ me sɛ anka ɛsɛ sɛ migye bere pii siesie me kasa.
11701,"Wiɛ, ɛsɛ sɛ mekɔ."
11702,Merentumi nkɔ bi.
11703,Ɛsɛ sɛ wodu hɔ bere a abɔ nnɔn du no.
11704,Merenyɛ komm.
11705,"Mesrɛ wo, kuruwa a nsa fitaa wom."
11706,Ade resa.
11707,Dɛn na wobɛyɛ Buronya Da?
11708,"Ɛhɔ yɛ nwini, na fa w'atade to so."
11709,"Ne nuabarima no aware, nanso onni mma."
11710,Mitumi de me kokoam nsɛm sie.
11711,Ná misusuw sɛ Kwabena awu.
11712,Ɔkwan bɛn so na woka saa wɔ Italy?
11713,So woka Esperanto?
11714,ɔhɔho no kaa asɛm bi kyerɛɛ ne nuabea no.
11715,Hwɛ sɛnea ɛhyɛ abufuw!
11716,Egyee me bɛboro nnɔnhwerew abien de kyerɛɛ Engiresi kasa nkratafa kakraa bi ase.
11717,Kwabena nyɛ Canadani.
11718,Minim sɛ mihui sɛ biribi rekɔ so.
11719,Ɔyare.
11720,Saa atade yi bo boro dɔla aduonum.
11721,Mahaw me ho.
11722,Metee sɛ mmoa bi wɔ hɔ a wɔn ho yɛ fɛ paa.
11723,Mepɛ sɛ obiara hu sɛ menyɛ owudifo.
11724,Wɔtoo pon no mu.
11725,"Wobu akontaa sɛ afe yi, sika a wonya fi Steel mu no adu tɔn ɔpepem 100."
11726,Kyerɛw asɛmfua biara to hɔ.
11727,Kwabena hwee ase bubuu ne nsa mu.
11728,Ɛno ne no nni hwee yɛ.
11729,Wuhuu oduruyɛfo?
11730,Nnipa pii susuw sɛ mmofra de bere pii hwɛ TV.
11731,"Ná ɔde sakre na ɛkɔ sukuu, nanso seesei de, ɔkɔ bɔs mu."
11732,Ɛnyɛ den ankasa.
11733,Wɔmaa saa sikakorabea no so mprenu.
11734,Ɔdaa akokoduru adi bere a ohyiaa asiane no.
11735,Ne nimdeɛ na ɛma otumi yɛɛ adwuma no.
11736,Yɛne ahɔhodan no ntam kwan nware.
11737,Metaa nom nsã.
11738,"Dabi, ɛnyɛ nokware!"
11739,Meyɛ obi a manya kokoram.
11740,Me maame mpo nim.
11741,Metan me ho sɛ minni ahoɔden a mede begyae adidi bɔne di.
11742,Wɔsan paw no sɛ kurow sohwɛfo.
11743,Kwabena nni nnamfo biara wɔ Boston.
11744,Ná migyina sukuupɔn ananmu wɔ nhyiam no ase.
11745,Mpɛn ahe na woakɔ hɔ?
11746,"Awiei koraa no, ɔpaa me kyɛw."
11747,Ná ɛsɛ sɛ nea ɔhwɛ agumadi no so no ma ne mu duru so tew.
11748,Ɛkaa kakra ma anka me werɛ fii ɛno ho biribiara.
11749,Kwabena ne Abena hwɛɛ wɔn ho na akyiri yi wɔhwɛɛ John.
11750,Obi kasa.
11751,"Mesrɛ wo, to pon no mu?"
11752,Kwabena yɛ me nanabarima.
11753,M'ani nnye ho sɛ mɛka nokware akyerɛ no.
11754,Ɛhe na aboa no wɔ?
11755,Saa ara na Kwabena te nka anaa?
11756,Osua sɛ ɔde nnɔnhwerew abiɛsa bɛyɛ saa.
11757,Mɛtotɔ nneɛma ama wo.
11758,Obiara rehwɛ Kwabena.
11759,Mesrɛ wo ka ho asɛm kyerɛ me.
11760,Me yam a anka manya sika pii.
11761,Ne ho yɛ fɛ yiye.
11762,Wɔrekasa wɔ gyaade.
11763,Kwabena nsusuw sɛ obehyia ɔhaw.
11764,Ɔpɛ sɛ ohu onii a ɔde nhwiren no brɛɛ wɔn no.
11765,DNA a wɔahyehyɛ no nnidiso nnidiso na ɛka ho.
11766,Nsu no ani kyerɛ soro.
11767,Yɛaba ha.
11768,So ɛsɛ sɛ wɔsɔre ntɛm?
11769,Abusua sika adɔɔso.
11770,Kwabena wɔ nsusuwii foforo.
11771,"Sika ntumi ntɔ anigye, nanso ɛyɛ anigye kɛse sɛ wobɛsɔre wɔ Maeti sen sakre so."
11772,M'adwenem da so ara yɛ me nãã.
11773,"Nanso, momma yemfi ase."
11774,Eyi yɛ ɛhɔnom atesɛm nkrataa a eye sen biara no biako.
11775,Metu wo fo denneennen sɛ ɛnsɛ sɛ woyɛ saa.
11776,Ka kyerɛ no sɛ merepam ade.
11777,Kwabena de n'ani kyerɛɛ soro.
11778,Ná meda bɛyɛ anadwo 10.
11779,Minni hokwan sɛ misi gyinae biara.
11780,Misusuw sɛ ɛsɛ sɛ wugye w'ahome kakra.
11781,Kɔtoo Kwabena.
11782,Bɔ mmɔden sɛ wobɛyɛ nea wubetumi biara ɔkyena.
11783,Kwabena anka sɛ obekum Abena.
11784,Migye di sɛ ɔbɛyɛ obi a ɔbɔ mmɔden kɛse.
11785,Nea Abena yɛe no maa Kwabena ho dwiriw no.
11786,Ɔkaa ne sakre kɔkɔɔ no ho aduru.
11787,Me yam taa hyehye me.
11788,Ɛyɛ bere a ɛsɛ sɛ yɛn mma no da.
11789,M'ani yɛ bruu.
11790,Fida biara adwumayɛfo no nya wɔn akatua.
11791,"Ɛtɔ mmere bi a, obi a ɔyɛ ɔmanyɛfo tumi de ne tɛkrɛma bɔ afɔre kum no."
11792,So wote nka sɛ wo ho ye?
11793,Ɛsɛ sɛ woka Engiresi kasa.
11794,Mmofra no adi mfe ahe?
11795,"Anadwo a etwaam no, akorɔmfo bɛsɛee yɛn fie no pasaa."
11796,"Ná Kwabena pɛ sɛ ɔkɔ Abena bere nyinaa, nanso na onni hokwan biara."
11797,Ɛno bɛma wɔahwere euro aduasa.
11798,Me ho pere me paa sɛ mehu nea m'awofo de bɛma me wɔ m'awoda no.
11799,Ɛnyɛ ahintasɛm sɛ Kwabena mpɛ Abena asɛm.
11800,"Ɛtɔ mmere bi a, akwakoraa no kasa kyerɛ ne ho."
11801,Kwabena yɛ adidibea ketewa bi sohwɛfo.
11802,Dɛn nti na woamma me nkyɛn kɛkɛ?
11803,Ma w'ani nnye w'aduan ho.
11804,Ɔfrɛɛ no ɔtorofo.
11805,Eyi ne wo asɛmmisa no ho mmuae.
11806,Misusuw sɛ menom nsa pii.
11807,Minni akokoduru a mede bɛbɔ mmɔden ayɛ saa.
11808,Seesei Kwabena hia ahomegye.
11809,Ɛho hia sɛ wɔbɔ me amanneɛ ntɛm ara.
11810,Mmu wo ho fɔ.
11811,Otuu kwan nna kakraa bi a atwam ni.
11812,Kwabena de anigye kae Abena.
11813,"Bere tenten a wowɔ ha no, ɛbɛyɛ papa sɛ wuguare."
11814,Mede saa kuruwa no redi dwuma.
11815,Woyɛɛ w'ade dɛn?
11816,Onnim nokware no.
11817,So watua sika a wode bɔɔ afɔre no?
11818,Fa ahopere twɛn kakra.
11819,Ɛbɛyɛ sɛ ɔbea no ani awu wɔ ne fie no ho.
11820,Yordan Asubɔnten no nkutoo ne asubɔnten a ɛsen kɔ Po a Awu no mu.
11821,Mede da mũ nyinaa siesiee ɔdan no mu.
11822,Wɔde bi a wɔfrɛ no Kwabena gu nsu mu.
11823,So woaka bere a wɔbɛyɛ nhyiam no akyerɛ obiara?
11824,Kwabena ankae me.
11825,Merekenkan Franse kasa no yiye.
11826,Kwabena pɛ sɛ ɔtɔ Japanfo kar.
11827,Minni bi ankasa.
11828,Ɛnyɛ den koraa sɛ yɛde 5 bɛka ho akodu 10.
11829,Nnwinnade bɛn na wɔde si sukuu dan mu?
11830,"Me ne nea me ne no wɔ dan koro mu no wɔ asɛm, odi m'aduan nyinaa."
11831,Wɔde Kwabena faa afiri bi so kɔe.
11832,San bra fie.
11833,Yɛantumi anni agoru yiye.
11834,Wɔtraa ahɔhodan no mu dapɛn biako.
11835,Henanom na wɔte ase?
11836,Ɛno nyɛ asiane.
11837,Aba no yɛ dɛ.
11838,Mete sɛ woyɛ obi a wutumi noa aduan yiye.
11839,Ná ɔrehwehwɛ biribi wɔ sum mu.
11840,Mfe pii twaam.
11841,Kwabena ka sɛ onnim bere a nhyiam no fi ase.
11842,Wo wusua dodo sɛ wobɛware.
11843,Momma yennye yɛn ahome kakra.
11844,"Mesrɛ wo, ma me aduru bi."
11845,"Mitumi susuw tebea horow bi a sɛ sekan tɔ mu a, ɛbɛyɛ nea mfaso wɔ so ho."
11846,Ɛno ne kɔmputa a ɔkyerɛw ne nsɛm no gu so.
11847,Da wo ho adi pefee sɛnea wubetumi biara.
11848,"Awiei koraa no, Kwabena behia oprehyɛn."
11849,Mankɔ gua so.
11850,Mekɔɔ adwumayɛdan no mu.
11851,Ná Kwabena abɔ akora.
11852,Mepɛ sɛ migyae.
11853,Kwabena gyaw yɛn simma kakraa bi a atwam ni.
11854,Wobɛyɛ dɛn atumi aka asɛm a ɛte saa?
11855,"Ɛmfa ho nea ebesi biara no, masiesie me ho."
11856,"Bere a wɔn kannifo no wui no, wɔde no too ɔda kɛse bi mu."
11857,Bere bɛn na woresan akɔ Italy?
11858,Ahum bi sɛee Kwabena fie.
11859,Ná osu retɔ kɛse wɔ nnipa a wɔwɔ hɔ no mu.
11860,Nka nkyerɛ wo papa.
11861,Mantɔ nhoma no.
11862,Adesuafo no nyinaa wɔ wɔn pon ho seesei.
11863,Minim Kwabena akyɛ sen sɛnea minim wo no.
11864,Metee nsɛm bi a ɛyɛ anigye.
11865,So ɛsɛ sɛ yɛda fam?
11866,Abena ne Kwabena nuabea-in-in mmara.
11867,Misusuw sɛ mintumi nsua agoru no.
11868,Minim sɛnea metumi ayɛ.
11869,Osii ne bo sɛ ɔbɛhyɛ ne mpaboa no den.
11870,Mantumi anhu wɔ baabiara.
11871,Ná misusuw sɛ wo ne Kwabena rekɔ.
11872,Ɔyɛ ɔwarefo.
11873,Bere bɛn na wonyanee nnɛ?
11874,Woadi mfomso bi.
11875,Ɛnte saa ankasa.
11876,Wɔpɛ sika pii.
11877,So yebetumi ama ohoni no atu mpɔn?
11878,Ɛnhaw adwene papa wɔ ti no ho.
11879,Obiara renhaw no.
11880,Mintumi nhu sɛ eye.
11881,Ma menhwɛ saa mfonini ahorow no.
11882,Aman ntam ntawntawdi ketewa bi kɔɔ so wɔ amanaman ntam akodi kɛse bi mu.
11883,"Mprempren, wonam kwan so resa yare."
11884,Kwabena ada mpa so ada.
11885,Ɔbɔɔ ne tamfo no pon mu.
11886,"So Kwabena ka kyerɛɛ wo sɛ anadwo a etwa to no, ɔwɔ hɔ?"
11887,Polisini no de kar kafo no too asiane no mu.
11888,Oyii no fii atɛkyɛ no mu.
11889,Kwabena bɛsraa yɛn pɛnkoro wɔ bere bi mu.
11890,"Nea ɛne no bɔ abira no, woyɛ abofra koraa."
11891,Ná misusuw sɛ mete sɛ obi rebɔ ɔfasu no ho.
11892,Mɛtena fie ɔkyena.
11893,Oduruyɛfo no ahyɛ ɔyarefo no sɛ wɔntwe ne ho mfi nsã ho.
11894,Dɛn ne w'atirimpɔw ankasa?
11895,Me yam a anka misuaa Franse kasa bere a na misua koraa no.
11896,So yebefi ase?
11897,Wubetumi aka nea ɛtoo Kwabena no akyerɛ me?
11898,Kwabena antumi antra ase amma ɔbea te sɛ Abena da.
11899,Saa afie no yɛ me wɔfa dea.
11900,Meda mo ase pii wɔ mmoa a mode ma no ho.
11901,Meka saa ahintasɛm yi kyerɛ mo.
11902,Momma yɛn werɛ mfi nea esii nnɛ no.
11903,Wo ne w'adwumam panyin bi agye akyinnye pɛn?
11904,Mihu sɛ ne ho yɛ fɛ.
11905,"Ɛdefa tebea a egye ntɛmpɛ bi ho no, frɛ polisifo."
11906,Mihui sɛ mempɛ sɛ mede bere pii di saa ɔhaw no ho dwuma bio.
11907,Ma wo nne so!
11908,Mintumi nhu.
11909,Minhuu Kwabena a ɔwɔ anigye saa da.
11910,Nneɛma abiɛsa pɛ na wubetumi ayɛ.
11911,Dɛn na ɛsɛ sɛ meyɛ na ama matumi asiw nyarewa ano?
11912,Yɛnhia Kwabena.
11913,Mesɛn me ntade.
11914,Wɔka sɛ mmeawa de bere pii dwennwen sɛnea wɔn ho te ho sen mmarimaa.
11915,Dɛn nti na womma w'ani nna hɔ?
11916,Eyi yɛ wo dea.
11917,Ɔde nnɔnhwerew abien twɛnee no.
11918,Ná wada hatee.
11919,Kwabena ka kyerɛɛ Abena sɛ ɔbɛsan aba.
11920,Misusuw sɛ yɛwɔ adwuma pii yɛ.
11921,Wo na wɔapaw wo.
11922,"Ná me ho pere me, na na mintumi nka wɔn ho."
11923,Kwabena nni sika pii te sɛ ne nuabarima.
11924,Nea ɛma obi yɛ kɛse no mu yɛ duru koraa sen sɛ ɔbɛyɛ kɛse dodo.
11925,M'ani gye apontow ho.
11926,Ɔbea dedaw no de anigye serewee.
11927,Abrabɔ fam akanni wɔ tumi sen akode biara.
11928,Dɛn na na Kwabena mpɛ sɛ wuhu?
11929,Ná ɔhaw foforo nso wɔ hɔ.
11930,Saa awɔw bere yi mu yɛ hyew.
11931,Me nsa aka wo krataa no.
11932,Wo nan ho ntew.
11933,So metumi ne wo akasa bio?
11934,Mommma yɛnnka Kwabena ho asɛm anadwo yi.
11935,Ɛhe na wɔtetee wo?
11936,Ofii hɔ bere bi a atwam.
11937,Bere nsoe sɛ ɔba.
11938,Enhia sɛ woma ho kwan ansa.
11939,"Sɛ mewɔ sika a, anka metumi atɔ."
11940,"Sɛnea metumi biara, mɛboa wo."
11941,Anka ɛsɛ sɛ meka biribi.
11942,Merenyɛ saa mma wiase no.
11943,Misusuw sɛ yehia oduruyɛfo.
11944,Ɔkae sɛ wɔyɛ ne nnamfo paa.
11945,Ná yɛn nyinaa adeda.
11946,Kwabena foroo keteke no 2:30.
11947,Minnim nea enti a aba saa.
11948,"Ná Kwabena pɛ sɛ ɔhyew Abena, nanso John gyinaa n'akyi."
11949,Ná aboa bi de n'ano sensɛn dua bi akyi.
11950,Ɛte sɛ nea aboa no ani gye yiye.
11951,Kwabena ne ne nnamfo taa de nkrataa bɔ agoru kosi ɔdasum.
11952,anibuei a edi kan no fii ase wɔ Mesopotamia.
11953,Mebɛtra fie nnɛ akenkan nhoma bi.
11954,Nnuru a wɔde di dwuma ɔkwammɔne so kum Kwabena.
11955,Ɛte sɛ nea ɔredi mfomso.
11956,Momma yemfi bɔs no mu.
11957,Mepɛ sɛ m'ankasa minyan Kwabena.
11958,Kwabena ka kyerɛɛ me sɛ menyɛ mpena.
11959,Ná minnim Kwabena ho nsɛm pii.
11960,Eyi yɛ aniberesɛm.
11961,Metɔɔ nhoma yi wɔ baabi a wɔtɔn nhoma no wɔ keteke gyinabea hɔ.
11962,Minim no.
11963,Merentumi mma ha ɔkyena.
11964,Dɛn nti na obi bɛyɛ saa?
11965,ɔmampanyin no wu no de awerɛhow kɛse bae.
11966,Kwabena anhwehwɛ mu ankɔ akyiri.
11967,Abofra no rekɔ n'anim mpɛn ason.
11968,Ɔhemmaa Elizabeth wui wɔ 1603 mu.
11969,Kwabena mogya so atew.
11970,Kwabena ankyerɛ nea ɔpɛ.
11971,Ma tɔ biribi a wode bɛhyɛ apontow no ase.
11972,Wususuw sɛ yebenya wim tebea pa?
11973,Ne babarima kumaa no adi mfe anum.
11974,Kwabena da so ara sua dodo sɛ wɔbɛnom nsa.
11975,Ehu bɛka no.
11976,So na wopɛ m'asɛm?
11977,Ɔyɛɛ adwuma pa.
11978,Me ne Abena ayɛ aware nhyehyɛe.
11979,Ɛte sɛ nea wɔn adwene atu afra.
11980,Ɛte sɛ nea Kwabena ka Abena ho.
11981,Mepɛ sɛ meyɛ adwuma wɔ baabi a wɔtɔn nhoma no.
11982,"Ná ɛsɛ sɛ yɛwaree May mu, nanso na ɛsɛ sɛ yetu aware no hyɛ da kosi June mu."
11983,Me honam ani hwɛbea a m'ani gye ho paa no yɛ akokɔsrade.
11984,Kwabena kɛse te sɛ me ara.
11985,Kwabena daa n'adwumam.
11986,Kwabena ka kyerɛɛ Abena sɛ ogye nea Yohane kae no di.
11987,Oduu hɔ bere a na merekɔ no ara pɛ.
11988,Wɔtoo nsa frɛɛ no.
11989,"Eyi ma yegyae aware wɔ August 15, 1999."
11990,"Wɔbɛma apontow no ho kwan wɔ abɔnten, na wɔama ho kwan wɔ wim tebea mu."
11991,M'adwuma ne sɛ mɛhoro nneɛma.
11992,"Ɛwom sɛ na awɔw wom paa de, nanso yefii adi."
11993,Onyaa n'ayamye no so akatua biara.
11994,Obetumi akenkan akyerɛw.
11995,Kwabena anya adwuma.
11996,"Sɛ wopɛ a, wubetumi agyina."
11997,Osua ade wɔ ne pon so.
11998,Ná wɔatwa Kwabena ho ahyia.
11999,"Bere a oduu dan no mu no, ɔtraa ne mpa so."
12000,"Sɛ mebɔ dam a, me nsa besi fam."
12001,Onya ɛmo.
12002,Mintumi nyɛ hwee ankasa.
12003,M'ani agye sɛ mahu wo bio.
12004,Bra ha.
12005,Mintumi ntwɛn nkosi Dwoda a ɛreba no.
12006,Nhoma yi yɛ akwankyerɛ pa a wɔde fi ase.
12007,Merekenkan nhoma no.
12008,Ɛte sɛ nea wudwen biribi foforo ho.
12009,Misusuw sɛ anka w'ani betumi agye wɔ ha.
12010,Ontumi nnidi yiye.
12011,Kwabena pɛ sɛ ɔbɔ Abena ho ban.
12012,Eye paa.
12013,"Mesrɛ wo, twe wo ho fi sigaretnom ho wɔ ha."
12014,Ɔyem.
12015,Ɛsɛ sɛ woma w'ani ku nea woka no ho kɛse.
12016,Eyi da nsow.
12017,M'adwene si me pi sɛ Kwabena bɛkyerɛ bere a wɔtɔ ade no.
12018,Wunim yɛn?
12019,Mihuu no bio.
12020,Ná ehu aka adesuafo no.
12021,Ná ahonhommɔne no ahyiam wɔ abɔnten so.
12022,Kwabena ho dwiriw no.
12023,huammɔdi bɛn ara ni!
12024,Kɔ na fa ma me.
12025,Ɔkwan bɛn so na wɔbɔɔ amansan yi?
12026,Misusuw sɛ ade biako pɛ na ɛsɛ sɛ meyɛ.
12027,Mepɛ sɛ wokɔ kɔhwɛ sɛ ɛda so ara wɔ hɔ anaa.
12028,"Esiane ɔko no nti, wɔpam akwantufo no mu biako fii hɔ."
12029,Nnipa dodow ahe na na wɔwɔ hɔ?
12030,"Afe yi, m'awofo ani gyee me mmɔdenbɔ ho."
12031,Mmea pɛ sɛ wɔkasa.
12032,Ɔwɔ adwuma pii yɛ.
12033,Ogyinaa ne nkyɛn bɔɔ mmɔden sɛ ɔbɛbɔ ne ho ban afi ahum no ho.
12034,Kwabena adi mfe aduasa.
12035,"Sɛ odu hɔ pɛ a, yebefi ase."
12036,Me ne Kwabena boaa yɛn ho yɛn ho.
12037,Otutuu n'ankasa damoa mu.
12038,Ɔyɛ adwuma wɔ nhwehwɛmu dan no mu.
12039,Kwabena nte mmɛn keteke gyinabea hɔ koraa.
12040,"Onni sika biara, nanso onya bi."
12041,Ɔbea a ɔte sɛ wo mfata ɔbarima te sɛ me.
12042,Mmarima baasa no serewee.
12043,So wubetumi abɔ sanku no?
12044,Ɛno yɛ kasafĩ.
12045,"Ɔkɔm de me, mepɛ sɛ menom kɔfe kuruwa biako."
12046,Mepɛ sɛ wɔkae me.
12047,Ɛka ahe na eyi bɔe?
12048,Ɔkaa Spania kasa kyerɛɛ me.
12049,"Sɛ wufi hɔ seesei ara a, obiara nni hɔ a ɔbɛka akyerɛ wo."
12050,Eyi yɛ nwonwa yiye.
12051,"So wunim sɛ sɛ woyɛ oprehyɛn bi wɔ Japan a, wɔremma wo kwan mma woguare wɔ fefɛw bere a emu yɛ hyew no pii mu?"
12052,Mma wo werɛ mmfi sɛ wobɛma keeki no akanyan no.
12053,Mintumi mpa abaw.
12054,So Kwabena asesa nneɛma pii?
12055,Kwabena nnae koraa fi da a ade rebɛkye ma ade akye no.
12056,Misusuw sɛ n'asɛm no yɛ nokware.
12057,So wote biribiara ase?
12058,Me mmɔdenbɔ no bɛkɔ so ayɛ adwuma.
12059,"Sɛ woyem a, nnuan bɛn na ɛnsɛ sɛ wudi?"
12060,Wɔama me kwan sɛ menyɛ saa.
12061,Switzerlandfo no we ade kɛse bi.
12062,Mintumi nna yiye nnansa yi.
12063,Seesei ɛsɛ sɛ mekɔ.
12064,"Saa nhoma ahorow yi yɛ me dea, na saa nhoma ahorow no yɛ ne dea."
12065,Yetuu yɛn ho mae.
12066,Kwabena nyɛ odwumayɛni pa.
12067,Minyaa krataa fii m'adamfo bi hɔ.
12068,Kwabena ne Abena nyinaa hwɛɛ John.
12069,Mehwɛɛ nhomawa no mu.
12070,Ogyee no dii bere a ɔkae sɛ ɔdɔ no no.
12071,Ɛyɛ hyew yiye.
12072,Mahu me.
12073,Dɛn nti na wode sika pii maa Kwabena?
12074,"Sɛ osu tɔ mpo a, wɔbɛbɔ bɔɔl no."
12075,Woyɛ adwumaden.
12076,M'ani gye m'adwuma ho.
12077,Dɛn nti na ɔkaa m'ano toom?
12078,Mepɛ sɛ mitumi kenkan Franse kasa.
12079,Dɛn nti na eyi aba saa?
12080,Mintumi nnyina ano bio.
12081,Ɔde ne nsusuwii too krataa so.
12082,"Ɛyɛ adeyɛ a egye ntɛmpɛ, Kwabena."
12083,"Awarefo no tetew mu, a obiara anhu ne yɔnko bio."
12084,Meyɛ mmofra baasa no mu panyin a ɔto so abien.
12085,Ná wonnim sɛ ebia wobetumi aba anaasɛ ɛremma.
12086,Me yam a anka wunni adagyew koraa.
12087,Yesuaa Arabic kasa.
12088,Biribiara bo yɛ den.
12089,Nneduafo no bɔɔ mmɔden sɛ wobeguan.
12090,"Sɛ obi wu na onu ne ho a, ɛnkyerɛ sɛ wanu ne ho."
12091,Me maame maa me nea mepɛ sɛ midi awia.
12092,"Kwabena kasa kɔɔ akyiri dodo, na ɔmaa ahintasɛm no daa adi."
12093,Kwabena te sɛ me nuabarima.
12094,Minnim nea mo sukuufo no reka no.
12095,Ɛhaw me yiye.
12096,Ɔbrɛe ntɛmntɛm.
12097,M'ani gye anigyede a m'ani gye ho paa ho.
12098,Metua ka.
12099,Woabɔ akwakoraa anaa aberewa.
12100,Ná ɛte sɛ nea worehwɛ sini bi a woyi no nkakrankakra.
12101,Kwabena kae sɛ onnye adanmude no.
12102,Ɛhe na me kyinii wɔ?
12103,Mekɔɔ hɔ nso.
12104,So wɔwɔ baabi a woyi ti no?
12105,"Mesrɛ wo, metumi atwam?"
12106,Kwabena kae sɛ ɔwɔ ɔbabea.
12107,Emu nea ɛwɔ he na wopɛ?
12108,Wogyaee deduani no.
12109,Kwabena twɛnee wɔ asɛnka agua no so.
12110,Midii akwamma wɔ Huke.
12111,Ɛsɛ sɛ wokɔ ayaresabea.
12112,Metan awɔw bere.
12113,Meka kyerɛɛ wo sɛ merempa abaw da.
12114,Ma Kwabena mfi hɔ nkɔ.
12115,Ɔtaa kasa pii.
12116,Kwabena tuaa saa kar dedaw no ho ka pii.
12117,So ɛsɛ sɛ yɛsesa Australia frankaa no?
12118,Sɛ wunni sika a wubetumi anya wo ti adidi mu.
12119,Ná ɔkyerɛ nsɛm ase.
12120,Ɛnsɛ sɛ wɔde saa aduru yi ma mmofra.
12121,Oyii nnawɔtwe biako fii hɔ.
12122,Wosii Disneyland wɔ 1955 mu.
12123,Wubetumi ama me sika?
12124,Eyi ne pɛn a eye sen biara.
12125,"Mesrɛ wo, me ho pere me sɛ mehu wo."
12126,Ná misusuw sɛ yɛn ho bɛtɔ yɛn kɛse wɔ ha.
12127,Misusuw sɛ na wo ti nhwi yɛ fɛ.
12128,Minnim nipa ko a woyɛ.
12129,Fa gu baabi a wunya fii no.
12130,Obi gyina pon no ano.
12131,Eyi ne ade a metɔɔ no Spain.
12132,Kwabena nim saa mmara ahorow no.
12133,Nnipa ahyɛ mu ma nnɛ.
12134,Ɔde ne nkwa too hɔ maa ne man.
12135,Ɛhe na wusuaa sɛnea wɔka kar yiye saa?
12136,Mabɔ din akyerɛ wo pɛn.
12137,Mepɛ sɛ wuhu sɛ na Kwabena ho hia me paa.
12138,Ná amoa bi da bokiti no ase.
12139,"Nnawɔtwe a atwam no, mefaa saa mfonini no."
12140,Anka ɛnsɛ sɛ mesɛee me bere.
12141,Kwabena pɛ sɛ ogyae yɛn akyi di.
12142,Yɛ saa ara.
12143,Munnim nea ebesi.
12144,"Eduu bere a miduu keteke gyinabea hɔ no, na me keteke no afi hɔ dedaw."
12145,Wubetumi agyina seesei ara.
12146,W ankɔ hɔ.
12147,M'ani agye sɛ mahu wo wɔ ha.
12148,Medɔ mo baanu nyinaa.
12149,Po so hyɛn no de ogya kɔɔ hyɛn no mu.
12150,Kwabena aduan.
12151,So wunim Japanfo aban nanmusifo a ɔwɔ France no?
12152,Ná ɛyɛ anadwo a esum ne ɔsram nni hɔ.
12153,Mitumi di wɔ ha.
12154,Dɛn nti na worehwere me nkwa?
12155,Ɔbɛyɛɛ ɔdefo.
12156,Kwabena yɛ onipa pa ankasa.
12157,"Me nkutoo ntumi nyɛ saa, ɛsɛ sɛ woboa me."
12158,M'ani nnye ne gyinaesi no ho.
12159,Ɔpɛ sɛ ɔkɔ Amerika.
12160,Sɛ ebinom yɛ komm a ɛma ehu ka wɔn.
12161,Mefrɛɛ Kwabena awia yi.
12162,"Afe a edi hɔ no, mewɔ anidaso sɛ mɛkɔ Canada."
12163,Saa kyene no nnyigyei yɛ soronko koraa.
12164,Ná wonyɛɛ bɔne saa.
12165,Wɔbɔɔ pɔw bɔne bi.
12166,Kwabena mpɛ sini a ɛyɛ hu.
12167,Yi srade no fi nam no mu.
12168,Ná mepɛ sɛ mihu Kwabena na me ne no kasa.
12169,Ɔyɛɛ nhwehwɛmu titiriw bi wɔ nyansahu mu.
12170,Anɔpa biara mehohoro me ho wɔ ahohuru bere mu.
12171,Ná nkurɔfo taa ka ne ho nsɛm pii.
12172,Polisini bi bi bisaa mmeawa no sɛ kar no yɛ wɔn de anaa.
12173,"Sɛ fefɛw bere du a, biribiara fi ase ba nkwa mu nkakrankakra."
12174,Dɛn ntia?
12175,Memaa me nuabea yɛɛ me mfonini.
12176,Ɛyɛ den sɛ wubehu wo ho.
12177,Meremfa me telefon nɔma mma wo.
12178,Wɔne no kɔɔ ɔdan dedaw bi a wɔde nnua asi a ɛbɛn afuw no mu.
12179,Dɛn nti na ɔyɛɛ biribi a ɛte saa?
12180,Kwabena susuw sɛ ɛsɛ sɛ Abena pa John kyɛw.
12181,So wopɛ sɛ wode kar no twɛn?
12182,So osu dodow a ɛtɔ no ka sɛnea nnɔbae nyin no?
12183,Akyinnye biara nni ho sɛ Kwabena ho nni mfaso biara.
12184,"Anwonwasɛm ne sɛ, dɛn na esii?"
12185,Ɛsɛ sɛ obi foforo hu nea esii no.
12186,"Sɛ wotaa nwiinwii a, ɛma m'ani gye."
12187,Ɛyɛ me yaw sɛ madi me bɔhyɛ so.
12188,"Bere a midii awia aduan wiei no, mesan kɔɔ adwumayɛbea hɔ."
12189,Eyi yɛ fɛ sen dua foforo biara.
12190,Ohuu no wɔ gua so mpofirim.
12191,Ne wu ho asɛm trɛwee.
12192,Ɛno betumi adi ɔhaw pii ho dwuma.
12193,Ɛnyɛ nwonwa sɛ Kwabena nna yiye; ɔnom kɔfe nkuruwa dumien da biara.
12194,Yɛabɔ wo ho nkɔmmɔ.
12195,Saa aboa yi nni dua biara.
12196,Ná mepɛ sɛ mehwehwɛ mu.
